"filename", "language", "XML", "Java", "Markdown", "Batch", "CSS", "Java Properties", "comment", "blank", "total"
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\dataSources.xml", "XML", 33, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\sqldialects.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\uiDesigner.xml", "XML", 124, 0, 0, 0, 0, 0, 0, 0, 124
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\noval\Documents\GitHub\gradeappv3\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\noval\Documents\GitHub\gradeappv3\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 17, 36
"c:\Users\noval\Documents\GitHub\gradeappv3\mvnw.cmd", "Batch", 0, 0, 0, 102, 0, 0, 51, 36, 189
"c:\Users\noval\Documents\GitHub\gradeappv3\pom.xml", "XML", 196, 0, 0, 0, 0, 0, 5, 6, 207
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\ArchiveController.java", "Java", 0, 7, 0, 0, 0, 0, 5, 5, 17
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\AssessmentController.java", "Java", 0, 490, 0, 0, 0, 0, 115, 106, 711
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\AssessmentCreationCallback.java", "Java", 0, 5, 0, 0, 0, 0, 8, 4, 17
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\AssessmentCreationController.java", "Java", 0, 106, 0, 0, 0, 0, 63, 41, 210
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\ClassController.java", "Java", 0, 379, 0, 0, 0, 0, 116, 88, 583
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\CourseDetailsController.java", "Java", 0, 190, 0, 0, 0, 0, 99, 44, 333
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\CourseEditController.java", "Java", 0, 193, 0, 0, 0, 0, 111, 65, 369
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\CoursesController.java", "Java", 0, 115, 0, 0, 0, 0, 50, 38, 203
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\DataImportExportController.java", "Java", 0, 76, 0, 0, 0, 0, 43, 16, 135
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\ExportController.java", "Java", 0, 325, 0, 0, 0, 0, 84, 60, 469
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\GradingController.java", "Java", 0, 80, 0, 0, 0, 0, 82, 27, 189
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\HelloController.java", "Java", 0, 57, 0, 0, 0, 0, 9, 14, 80
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\HomeController.java", "Java", 0, 22, 0, 0, 0, 0, 2, 11, 35
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\MarkingController.java", "Java", 0, 219, 0, 0, 0, 0, 65, 49, 333
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\StudentController.java", "Java", 0, 407, 0, 0, 0, 0, 118, 87, 612
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\StudentDetailsController.java", "Java", 0, 154, 0, 0, 0, 0, 54, 39, 247
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\StudentMarkbookController.java", "Java", 0, 185, 0, 0, 0, 0, 61, 38, 284
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\database\Database.java", "Java", 0, 1431, 0, 0, 0, 0, 467, 110, 2008
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Assessment.java", "Java", 0, 161, 0, 0, 0, 0, 70, 47, 278
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\AssessmentPart.java", "Java", 0, 85, 0, 0, 0, 0, 42, 28, 155
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Classes.java", "Java", 0, 66, 0, 0, 0, 0, 53, 22, 141
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Course.java", "Java", 0, 87, 0, 0, 0, 0, 87, 29, 203
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Grade.java", "Java", 0, 57, 0, 0, 0, 0, 29, 18, 104
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\GradeBook.java", "Java", 0, 46, 0, 0, 0, 0, 44, 16, 106
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Outcome.java", "Java", 0, 58, 0, 0, 0, 0, 19, 19, 96
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Student.java", "Java", 0, 71, 0, 0, 0, 0, 48, 22, 141
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\Calculator.java", "Java", 0, 123, 0, 0, 0, 0, 107, 27, 257
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\ChartGenerator.java", "Java", 0, 56, 0, 0, 0, 0, 26, 18, 100
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\FileHandler.java", "Java", 0, 190, 0, 0, 0, 0, 96, 43, 329
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\module-info.java", "Java", 0, 33, 0, 0, 0, 0, 0, 10, 43
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\org\example\demo3\HelloApplication.java", "Java", 0, 21, 0, 0, 0, 0, 2, 4, 27
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\add-student-view.fxml", "XML", 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\archive-view.fxml", "XML", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-creation.fxml", "XML", 56, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-view.fxml", "XML", 115, 0, 0, 0, 0, 0, 0, 3, 118
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\class-details-view.fxml", "XML", 133, 0, 0, 0, 0, 0, 0, 4, 137
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\classes-view.fxml", "XML", 109, 0, 0, 0, 0, 0, 11, 13, 133
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\course-creation.fxml", "XML", 78, 0, 0, 0, 0, 0, 0, 12, 90
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\course-details.fxml", "XML", 85, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\courses-view.fxml", "XML", 52, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\export-view.fxml", "XML", 66, 0, 0, 0, 0, 0, 4, 10, 80
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\hello-view.fxml", "XML", 181, 0, 0, 0, 0, 0, 0, 3, 184
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\home-view.fxml", "XML", 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\icons\assessments.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\marking-view.fxml", "XML", 50, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\student-details-view.fxml", "XML", 130, 0, 0, 0, 0, 0, 0, 4, 134
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\student-markbook.fxml", "XML", 86, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\students-view.fxml", "XML", 60, 0, 0, 0, 0, 0, 6, 10, 76
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\styles.css", "CSS", 0, 0, 0, 0, 75, 0, 10, 13, 98
"Total", "-", 1697, 5495, 19, 102, 75, 2, 2262, 1326, 10978
